Postcode,ACPR_code,ACPR_name,State,Strategy,"Service Offering
(26.09.2024)",# FGF Members,"# BFHs
(Employee Helpers)
within 30km","BFH 
Welcome Visit","NDIS 
Service Areas",F2F Signups,Local Care Management
800,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
810,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
812,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
815,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
820,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
822,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
822,704,East Arnhem,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
822,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
828,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
829,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
830,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
832,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
834,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
835,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
836,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
837,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
838,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
839,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
840,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
841,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
845,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
846,703,Darwin,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
847,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
850,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
852,701,Alice Springs,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
852,702,Barkly,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
852,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
853,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
854,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
860,702,Barkly,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
862,702,Barkly,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
862,705,Katherine,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
870,701,Alice Springs,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
872,410,Flinders & Far North,NT,Do Not Service,RED,0,0,NO,NO,NO,NO
